日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,保证金,当日盈亏,今手数,盈亏占比,仓位占比
2018-12-24,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.76,41412,-8482.5,5.735,-,0,-87,0股,-17%,250978.61,16.5%
2018-12-24,股票,交通银行(601328.XSHG),多,8000股,8000股,5.61,44880,-3315.2,6.024,-,0,-320,0股,-6.88%,250978.61,17.88%
2018-12-24,股票,中信银行(601998.XSHG),多,7500股,7500股,5.48,41100,-4717.5,6.109,-,0,525,0股,-10.3%,250978.61,16.38%
2018-12-24,股票,中兴通讯(000063.XSHE),多,100股,100股,20.26,2026,811,12.15,-,0,102,0股,66.75%,250978.61,0.81%
2018-12-24,,Cash,,,,,5386.61,,,,,,,,0
2018-12-25,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.02,29946,-19715.6,21.592,-,0,-782,0股,-39.7%,248325.61,12.06%
2018-12-25,股票,上汽集团(600104.XSHG),多,1600股,1600股,26.24,41984,-5920,29.94,-,0,608,0股,-12.36%,248325.61,16.91%
2018-12-25,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.81,43053,-7175.5,4.445,-,0,-1017,0股,-14.29%,248325.61,17.34%
2018-12-25,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.65,40455,-9439.5,5.735,-,0,-957,0股,-18.92%,248325.61,16.29%
2018-12-25,股票,交通银行(601328.XSHG),多,8000股,8000股,5.63,45040,-3155.2,6.024,-,0,160,0股,-6.55%,248325.61,18.14%
2018-12-25,股票,中信银行(601998.XSHG),多,7500股,7500股,5.39,40425,-5392.5,6.109,-,0,-675,0股,-11.77%,248325.61,16.28%
2018-12-25,股票,中兴通讯(000063.XSHE),多,100股,100股,20.36,2036,821,12.15,-,0,10,0股,67.57%,248325.61,0.82%
2018-12-25,,Cash,,,,,5386.61,,,,,,,,0
2018-12-26,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.05,30015,-19646.6,21.592,-,0,69,0股,-39.56%,248499.61,12.08%
2018-12-26,股票,上汽集团(600104.XSHG),多,1600股,1600股,26.75,42800,-5104,29.94,-,0,816,0股,-10.65%,248499.61,17.22%
2018-12-26,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.77,42601,-7627.5,4.445,-,0,-452,0股,-15.19%,248499.61,17.14%
2018-12-26,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.58,39846,-10048.5,5.735,-,0,-609,0股,-20.14%,248499.61,16.03%
2018-12-26,股票,交通银行(601328.XSHG),多,8000股,8000股,5.68,45440,-2755.2,6.024,-,0,400,0股,-5.72%,248499.61,18.29%
2018-12-26,股票,中信银行(601998.XSHG),多,7500股,7500股,5.39,40425,-5392.5,6.109,-,0,0,0股,-11.77%,248499.61,16.27%
2018-12-26,股票,中兴通讯(000063.XSHE),多,100股,100股,19.86,1986,771,12.15,-,0,-50,0股,63.46%,248499.61,0.8%
2018-12-26,,Cash,,,,,5386.61,,,,,,,,0
2018-12-27,股票,普丽盛(300442.XSHE),多,2300股,2300股,12.79,29417,-20244.6,21.592,-,0,-598,0股,-40.77%,248627.61,11.83%
2018-12-27,股票,上汽集团(600104.XSHG),多,1600股,1600股,27.16,43456,-4448,29.94,-,0,656,0股,-9.29%,248627.61,17.48%
2018-12-27,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.73,42149,-8079.5,4.445,-,0,-452,0股,-16.09%,248627.61,16.95%
2018-12-27,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.62,40194,-9700.5,5.735,-,0,348,0股,-19.44%,248627.61,16.17%
2018-12-27,股票,交通银行(601328.XSHG),多,8000股,8000股,5.72,45760,-2435.2,6.024,-,0,320,0股,-5.05%,248627.61,18.41%
2018-12-27,股票,中信银行(601998.XSHG),多,7500股,7500股,5.37,40275,-5542.5,6.109,-,0,-150,0股,-12.1%,248627.61,16.2%
2018-12-27,股票,中兴通讯(000063.XSHE),多,100股,100股,19.9,1990,775,12.15,-,0,4,0股,63.79%,248627.61,0.8%
2018-12-27,,Cash,,,,,5386.61,,,,,,,,0
2018-12-28,股票,普丽盛(300442.XSHE),多,2300股,2300股,12.67,29141,-20520.6,21.592,-,0,-276,0股,-41.32%,248505.61,11.73%
2018-12-28,股票,上汽集团(600104.XSHG),多,1600股,1600股,26.67,42672,-5232,29.94,-,0,-784,0股,-10.92%,248505.61,17.17%
2018-12-28,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.69,41697,-8531.5,4.445,-,0,-452,0股,-16.99%,248505.61,16.78%
2018-12-28,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.65,40455,-9439.5,5.735,-,0,261,0股,-18.92%,248505.61,16.28%
2018-12-28,股票,交通银行(601328.XSHG),多,8000股,8000股,5.79,46320,-1875.2,6.024,-,0,560,0股,-3.89%,248505.61,18.64%
2018-12-28,股票,中信银行(601998.XSHG),多,7500股,7500股,5.45,40875,-4942.5,6.109,-,0,600,0股,-10.79%,248505.61,16.45%
2018-12-28,股票,中兴通讯(000063.XSHE),多,100股,100股,19.59,1959,744,12.15,-,0,-31,0股,61.23%,248505.61,0.79%
2018-12-28,,Cash,,,,,5386.61,,,,,,,,0
2019-01-02,股票,普丽盛(300442.XSHE),多,2300股,2300股,12.78,29394,-20267.6,21.592,-,0,253,0股,-40.81%,244433.61,12.03%
2019-01-02,股票,上汽集团(600104.XSHG),多,1600股,1600股,25.24,40384,-7520,29.94,-,0,-2288,0股,-15.7%,244433.61,16.52%
2019-01-02,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.69,41697,-8531.5,4.445,-,0,0,0股,-16.99%,244433.61,17.06%
2019-01-02,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.63,40281,-9613.5,5.735,-,0,-174,0股,-19.27%,244433.61,16.48%
2019-01-02,股票,交通银行(601328.XSHG),多,8000股,8000股,5.67,45360,-2835.2,6.024,-,0,-960,0股,-5.88%,244433.61,18.56%
2019-01-02,股票,中信银行(601998.XSHG),多,7500股,7500股,5.33,39975,-5842.5,6.109,-,0,-900,0股,-12.75%,244433.61,16.35%
2019-01-02,股票,中兴通讯(000063.XSHE),多,100股,100股,19.56,1956,741,12.15,-,0,-3,0股,60.99%,244433.61,0.8%
2019-01-02,,Cash,,,,,5386.61,,,,,,,,0
2019-01-03,股票,普丽盛(300442.XSHE),多,2300股,2300股,12.85,29555,-20106.6,21.592,-,0,161,0股,-40.49%,244631.61,12.08%
2019-01-03,股票,上汽集团(600104.XSHG),多,1600股,1600股,24.78,39648,-8256,29.94,-,0,-736,0股,-17.23%,244631.61,16.21%
2019-01-03,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.65,41245,-8983.5,4.445,-,0,-452,0股,-17.89%,244631.61,16.86%
2019-01-03,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.67,40629,-9265.5,5.735,-,0,348,0股,-18.57%,244631.61,16.61%
2019-01-03,股票,交通银行(601328.XSHG),多,8000股,8000股,5.78,46240,-1955.2,6.024,-,0,880,0股,-4.06%,244631.61,18.9%
2019-01-03,股票,中信银行(601998.XSHG),多,7500股,7500股,5.34,40050,-5767.5,6.109,-,0,75,0股,-12.59%,244631.61,16.37%
2019-01-03,股票,中兴通讯(000063.XSHE),多,100股,100股,18.78,1878,663,12.15,-,0,-78,0股,54.57%,244631.61,0.77%
2019-01-03,,Cash,,,,,5386.61,,,,,,,,0
2019-01-04,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.1,30130,-19531.6,21.592,-,0,575,0股,-39.33%,248103.61,12.14%
2019-01-04,股票,上汽集团(600104.XSHG),多,1600股,1600股,24.75,39600,-8304,29.94,-,0,-48,0股,-17.33%,248103.61,15.96%
2019-01-04,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.73,42149,-8079.5,4.445,-,0,904,0股,-16.09%,248103.61,16.99%
2019-01-04,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.74,41238,-8656.5,5.735,-,0,609,0股,-17.35%,248103.61,16.62%
2019-01-04,股票,交通银行(601328.XSHG),多,8000股,8000股,5.86,46880,-1315.2,6.024,-,0,640,0股,-2.73%,248103.61,18.9%
2019-01-04,股票,中信银行(601998.XSHG),多,7500股,7500股,5.44,40800,-5017.5,6.109,-,0,750,0股,-10.95%,248103.61,16.44%
2019-01-04,股票,中兴通讯(000063.XSHE),多,100股,100股,19.2,1920,705,12.15,-,0,42,0股,58.02%,248103.61,0.77%
2019-01-04,,Cash,,,,,5386.61,,,,,,,,0
2019-01-07,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.29,30567,-19094.6,21.592,-,0,437,0股,-38.45%,249557.61,12.25%
2019-01-07,股票,上汽集团(600104.XSHG),多,1600股,1600股,24.6,39360,-8544,29.94,-,0,-240,0股,-17.84%,249557.61,15.77%
2019-01-07,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.83,43279,-6949.5,4.445,-,0,1130,0股,-13.84%,249557.61,17.34%
2019-01-07,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.79,41673,-8221.5,5.735,-,0,435,0股,-16.48%,249557.61,16.7%
2019-01-07,股票,交通银行(601328.XSHG),多,8000股,8000股,5.83,46640,-1555.2,6.024,-,0,-240,0股,-3.23%,249557.61,18.69%
2019-01-07,股票,中信银行(601998.XSHG),多,7500股,7500股,5.42,40650,-5167.5,6.109,-,0,-150,0股,-11.28%,249557.61,16.29%
2019-01-07,股票,中兴通讯(000063.XSHE),多,100股,100股,20.02,2002,787,12.15,-,0,82,0股,64.77%,249557.61,0.8%
2019-01-07,,Cash,,,,,5386.61,,,,,,,,0
2019-01-08,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.3,30590,-19071.6,21.592,-,0,23,0股,-38.4%,249236.61,12.27%
2019-01-08,股票,上汽集团(600104.XSHG),多,1600股,1600股,24.3,38880,-9024,29.94,-,0,-480,0股,-18.84%,249236.61,15.6%
2019-01-08,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.83,43279,-6949.5,4.445,-,0,0,0股,-13.84%,249236.61,17.36%
2019-01-08,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.78,41586,-8308.5,5.735,-,0,-87,0股,-16.65%,249236.61,16.69%
2019-01-08,股票,交通银行(601328.XSHG),多,8000股,8000股,5.85,46800,-1395.2,6.024,-,0,160,0股,-2.89%,249236.61,18.78%
2019-01-08,股票,中信银行(601998.XSHG),多,7500股,7500股,5.43,40725,-5092.5,6.109,-,0,75,0股,-11.11%,249236.61,16.34%
2019-01-08,股票,中兴通讯(000063.XSHE),多,100股,100股,19.9,1990,775,12.15,-,0,-12,0股,63.79%,249236.61,0.8%
2019-01-08,,Cash,,,,,5386.61,,,,,,,,0
2019-01-09,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.26,30498,-19163.6,21.592,-,0,-92,0股,-38.59%,251940.61,12.11%
2019-01-09,股票,上汽集团(600104.XSHG),多,1600股,1600股,25.2,40320,-7584,29.94,-,0,1440,0股,-15.83%,251940.61,16%
2019-01-09,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.88,43844,-6384.5,4.445,-,0,565,0股,-12.71%,251940.61,17.4%
2019-01-09,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.8,41760,-8134.5,5.735,-,0,174,0股,-16.3%,251940.61,16.58%
2019-01-09,股票,交通银行(601328.XSHG),多,8000股,8000股,5.88,47040,-1155.2,6.024,-,0,240,0股,-2.4%,251940.61,18.67%
2019-01-09,股票,中信银行(601998.XSHG),多,7500股,7500股,5.48,41100,-4717.5,6.109,-,0,375,0股,-10.3%,251940.61,16.31%
2019-01-09,股票,中兴通讯(000063.XSHE),多,100股,100股,19.92,1992,777,12.15,-,0,2,0股,63.95%,251940.61,0.79%
2019-01-09,,Cash,,,,,5386.61,,,,,,,,0
2019-01-10,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.37,30751,-18910.6,21.592,-,0,253,0股,-38.08%,251107.61,12.25%
2019-01-10,股票,上汽集团(600104.XSHG),多,1600股,1600股,24.84,39744,-8160,29.94,-,0,-576,0股,-17.03%,251107.61,15.83%
2019-01-10,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.91,44183,-6045.5,4.445,-,0,339,0股,-12.04%,251107.61,17.6%
2019-01-10,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.78,41586,-8308.5,5.735,-,0,-174,0股,-16.65%,251107.61,16.56%
2019-01-10,股票,交通银行(601328.XSHG),多,8000股,8000股,5.85,46800,-1395.2,6.024,-,0,-240,0股,-2.89%,251107.61,18.64%
2019-01-10,股票,中信银行(601998.XSHG),多,7500股,7500股,5.42,40650,-5167.5,6.109,-,0,-450,0股,-11.28%,251107.61,16.19%
2019-01-10,股票,中兴通讯(000063.XSHE),多,100股,100股,20.07,2007,792,12.15,-,0,15,0股,65.19%,251107.61,0.8%
2019-01-10,,Cash,,,,,5386.61,,,,,,,,0
2019-01-11,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.4,30820,-18841.6,21.592,-,0,69,0股,-37.94%,252696.61,12.2%
2019-01-11,股票,上汽集团(600104.XSHG),多,1600股,1600股,25.17,40272,-7632,29.94,-,0,528,0股,-15.93%,252696.61,15.94%
2019-01-11,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.93,44409,-5819.5,4.445,-,0,226,0股,-11.59%,252696.61,17.57%
2019-01-11,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.79,41673,-8221.5,5.735,-,0,87,0股,-16.48%,252696.61,16.49%
2019-01-11,股票,交通银行(601328.XSHG),多,8000股,8000股,5.92,47360,-835.2,6.024,-,0,560,0股,-1.73%,252696.61,18.74%
2019-01-11,股票,中信银行(601998.XSHG),多,7500股,7500股,5.43,40725,-5092.5,6.109,-,0,75,0股,-11.11%,252696.61,16.12%
2019-01-11,股票,中兴通讯(000063.XSHE),多,100股,100股,20.51,2051,836,12.15,-,0,44,0股,68.81%,252696.61,0.81%
2019-01-11,,Cash,,,,,5386.61,,,,,,,,0
2019-01-14,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.23,30429,-19232.6,21.592,-,0,-391,0股,-38.73%,251093.61,12.12%
2019-01-14,股票,上汽集团(600104.XSHG),多,1600股,1600股,24.87,39792,-8112,29.94,-,0,-480,0股,-16.93%,251093.61,15.85%
2019-01-14,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.9,44070,-6158.5,4.445,-,0,-339,0股,-12.26%,251093.61,17.55%
2019-01-14,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.76,41412,-8482.5,5.735,-,0,-261,0股,-17%,251093.61,16.49%
2019-01-14,股票,交通银行(601328.XSHG),多,8000股,8000股,5.89,47120,-1075.2,6.024,-,0,-240,0股,-2.23%,251093.61,18.77%
2019-01-14,股票,中信银行(601998.XSHG),多,7500股,7500股,5.45,40875,-4942.5,6.109,-,0,150,0股,-10.79%,251093.61,16.28%
2019-01-14,股票,中兴通讯(000063.XSHE),多,100股,100股,20.09,2009,794,12.15,-,0,-42,0股,65.35%,251093.61,0.8%
2019-01-14,,Cash,,,,,5386.61,,,,,,,,0
2019-01-15,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.6,31280,-18381.6,21.592,-,0,851,0股,-37.01%,253883.61,12.32%
2019-01-15,股票,上汽集团(600104.XSHG),多,1600股,1600股,25.14,40224,-7680,29.94,-,0,432,0股,-16.03%,253883.61,15.84%
2019-01-15,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.95,44635,-5593.5,4.445,-,0,565,0股,-11.14%,253883.61,17.58%
2019-01-15,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.79,41673,-8221.5,5.735,-,0,261,0股,-16.48%,253883.61,16.41%
2019-01-15,股票,交通银行(601328.XSHG),多,8000股,8000股,5.95,47600,-595.2,6.024,-,0,480,0股,-1.23%,253883.61,18.75%
2019-01-15,股票,中信银行(601998.XSHG),多,7500股,7500股,5.47,41025,-4792.5,6.109,-,0,150,0股,-10.46%,253883.61,16.16%
2019-01-15,股票,中兴通讯(000063.XSHE),多,100股,100股,20.6,2060,845,12.15,-,0,51,0股,69.55%,253883.61,0.81%
2019-01-15,,Cash,,,,,5386.61,,,,,,,,0
2019-01-16,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.55,31165,-18496.6,21.592,-,0,-115,0股,-37.25%,254391.61,12.25%
2019-01-16,股票,上汽集团(600104.XSHG),多,1600股,1600股,25.45,40720,-7184,29.94,-,0,496,0股,-15%,254391.61,16.01%
2019-01-16,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.97,44861,-5367.5,4.445,-,0,226,0股,-10.69%,254391.61,17.63%
2019-01-16,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.79,41673,-8221.5,5.735,-,0,0,0股,-16.48%,254391.61,16.38%
2019-01-16,股票,交通银行(601328.XSHG),多,8000股,8000股,5.96,47680,-515.2,6.024,-,0,80,0股,-1.07%,254391.61,18.74%
2019-01-16,股票,中信银行(601998.XSHG),多,7500股,7500股,5.45,40875,-4942.5,6.109,-,0,-150,0股,-10.79%,254391.61,16.07%
2019-01-16,股票,中兴通讯(000063.XSHE),多,100股,100股,20.31,2031,816,12.15,-,0,-29,0股,67.16%,254391.61,0.8%
2019-01-16,,Cash,,,,,5386.61,,,,,,,,0
2019-01-17,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.41,30843,-18818.6,21.592,-,0,-322,0股,-37.89%,252112.61,12.23%
2019-01-17,股票,上汽集团(600104.XSHG),多,1600股,1600股,25.03,40048,-7856,29.94,-,0,-672,0股,-16.4%,252112.61,15.88%
2019-01-17,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.88,43844,-6384.5,4.445,-,0,-1017,0股,-12.71%,252112.61,17.39%
2019-01-17,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.8,41760,-8134.5,5.735,-,0,87,0股,-16.3%,252112.61,16.56%
2019-01-17,股票,交通银行(601328.XSHG),多,8000股,8000股,5.91,47280,-915.2,6.024,-,0,-400,0股,-1.9%,252112.61,18.75%
2019-01-17,股票,中信银行(601998.XSHG),多,7500股,7500股,5.46,40950,-4867.5,6.109,-,0,75,0股,-10.62%,252112.61,16.24%
2019-01-17,股票,中兴通讯(000063.XSHE),多,100股,100股,20.01,2001,786,12.15,-,0,-30,0股,64.69%,252112.61,0.79%
2019-01-17,,Cash,,,,,5386.61,,,,,,,,0
2019-01-18,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.51,31073,-18588.6,21.592,-,0,230,0股,-37.43%,255063.61,12.18%
2019-01-18,股票,上汽集团(600104.XSHG),多,1600股,1600股,25.39,40624,-7280,29.94,-,0,576,0股,-15.2%,255063.61,15.93%
2019-01-18,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.93,44409,-5819.5,4.445,-,0,565,0股,-11.59%,255063.61,17.41%
2019-01-18,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.84,42108,-7786.5,5.735,-,0,348,0股,-15.61%,255063.61,16.51%
2019-01-18,股票,交通银行(601328.XSHG),多,8000股,8000股,5.98,47840,-355.2,6.024,-,0,560,0股,-0.74%,255063.61,18.76%
2019-01-18,股票,中信银行(601998.XSHG),多,7500股,7500股,5.55,41625,-4192.5,6.109,-,0,675,0股,-9.15%,255063.61,16.32%
2019-01-18,股票,中兴通讯(000063.XSHE),多,100股,100股,19.98,1998,783,12.15,-,0,-3,0股,64.44%,255063.61,0.78%
2019-01-18,,Cash,,,,,5386.61,,,,,,,,0
2019-01-21,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.48,31004,-18657.6,21.592,-,0,-69,0股,-37.57%,257928.61,12.02%
2019-01-21,股票,上汽集团(600104.XSHG),多,1600股,1600股,26.13,41808,-6096,29.94,-,0,1184,0股,-12.73%,257928.61,16.21%
2019-01-21,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.06,45878,-4350.5,4.445,-,0,1469,0股,-8.66%,257928.61,17.79%
2019-01-21,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.84,42108,-7786.5,5.735,-,0,0,0股,-15.61%,257928.61,16.33%
2019-01-21,股票,交通银行(601328.XSHG),多,8000股,8000股,6.03,48240,44.8,6.024,-,0,400,0股,0.09%,257928.61,18.7%
2019-01-21,股票,中信银行(601998.XSHG),多,7500股,7500股,5.52,41400,-4417.5,6.109,-,0,-225,0股,-9.64%,257928.61,16.05%
2019-01-21,股票,中兴通讯(000063.XSHE),多,100股,100股,21.04,2104,889,12.15,-,0,106,0股,73.17%,257928.61,0.82%
2019-01-21,,Cash,,,,,5386.61,,,,,,,,0
2019-01-22,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.25,30475,-19186.6,21.592,-,0,-529,0股,-38.63%,253866.61,12%
2019-01-22,股票,上汽集团(600104.XSHG),多,1600股,1600股,25.41,40656,-7248,29.94,-,0,-1152,0股,-15.13%,253866.61,16.01%
2019-01-22,股票,招商轮船(601872.XSHG),多,11300股,11300股,3.94,44522,-5706.5,4.445,-,0,-1356,0股,-11.36%,253866.61,17.54%
2019-01-22,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.79,41673,-8221.5,5.735,-,0,-435,0股,-16.48%,253866.61,16.42%
2019-01-22,股票,交通银行(601328.XSHG),多,8000股,8000股,6.02,48160,-35.2,6.024,-,0,-80,0股,-0.07%,253866.61,18.97%
2019-01-22,股票,中信银行(601998.XSHG),多,7500股,7500股,5.46,40950,-4867.5,6.109,-,0,-450,0股,-10.62%,253866.61,16.13%
2019-01-22,股票,中兴通讯(000063.XSHE),多,100股,100股,20.44,2044,829,12.15,-,0,-60,0股,68.23%,253866.61,0.81%
2019-01-22,,Cash,,,,,5386.61,,,,,,,,0
2019-01-23,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.18,30314,-19347.6,21.592,-,0,-161,0股,-38.96%,254453.61,11.91%
2019-01-23,股票,上汽集团(600104.XSHG),多,1600股,1600股,25.3,40480,-7424,29.94,-,0,-176,0股,-15.5%,254453.61,15.91%
2019-01-23,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.06,45878,-4350.5,4.445,-,0,1356,0股,-8.66%,254453.61,18.03%
2019-01-23,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.75,41325,-8569.5,5.735,-,0,-348,0股,-17.18%,254453.61,16.24%
2019-01-23,股票,交通银行(601328.XSHG),多,8000股,8000股,6,48000,-195.2,6.024,-,0,-160,0股,-0.41%,254453.61,18.86%
2019-01-23,股票,中信银行(601998.XSHG),多,7500股,7500股,5.47,41025,-4792.5,6.109,-,0,75,0股,-10.46%,254453.61,16.12%
2019-01-23,股票,中兴通讯(000063.XSHE),多,100股,100股,20.45,2045,830,12.15,-,0,1,0股,68.31%,254453.61,0.8%
2019-01-23,,Cash,,,,,5386.61,,,,,,,,0
2019-01-24,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.33,30659,-19002.6,21.592,-,0,345,0股,-38.26%,255715.61,11.99%
2019-01-24,股票,上汽集团(600104.XSHG),多,1600股,1600股,25.7,41120,-6784,29.94,-,0,640,0股,-14.16%,255715.61,16.08%
2019-01-24,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.1,46330,-3898.5,4.445,-,0,452,0股,-7.76%,255715.61,18.12%
2019-01-24,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.74,41238,-8656.5,5.735,-,0,-87,0股,-17.35%,255715.61,16.13%
2019-01-24,股票,交通银行(601328.XSHG),多,8000股,8000股,5.99,47920,-275.2,6.024,-,0,-80,0股,-0.57%,255715.61,18.74%
2019-01-24,股票,中信银行(601998.XSHG),多,7500股,7500股,5.47,41025,-4792.5,6.109,-,0,0,0股,-10.46%,255715.61,16.04%
2019-01-24,股票,中兴通讯(000063.XSHE),多,100股,100股,20.37,2037,822,12.15,-,0,-8,0股,67.65%,255715.61,0.8%
2019-01-24,,Cash,,,,,5386.61,,,,,,,,0
2019-01-25,股票,普丽盛(300442.XSHE),多,2300股,2300股,13.18,30314,-19347.6,21.592,-,0,-345,0股,-38.96%,257809.61,11.76%
2019-01-25,股票,上汽集团(600104.XSHG),多,1600股,1600股,26.23,41968,-5936,29.94,-,0,848,0股,-12.39%,257809.61,16.28%
2019-01-25,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.19,47347,-2881.5,4.445,-,0,1017,0股,-5.74%,257809.61,18.37%
2019-01-25,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.71,40977,-8917.5,5.735,-,0,-261,0股,-17.87%,257809.61,15.89%
2019-01-25,股票,交通银行(601328.XSHG),多,8000股,8000股,6.02,48160,-35.2,6.024,-,0,240,0股,-0.07%,257809.61,18.68%
2019-01-25,股票,中信银行(601998.XSHG),多,7500股,7500股,5.55,41625,-4192.5,6.109,-,0,600,0股,-9.15%,257809.61,16.15%
2019-01-25,股票,中兴通讯(000063.XSHE),多,100股,100股,20.32,2032,817,12.15,-,0,-5,0股,67.24%,257809.61,0.79%
2019-01-25,,Cash,,,,,5386.61,,,,,,,,0
2019-01-28,股票,普丽盛(300442.XSHE),多,2300股,2300股,12.83,29509,-20152.6,21.592,-,0,-805,0股,-40.58%,256629.61,11.5%
2019-01-28,股票,上汽集团(600104.XSHG),多,1600股,1600股,26.09,41744,-6160,29.94,-,0,-224,0股,-12.86%,256629.61,16.27%
2019-01-28,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.16,47008,-3220.5,4.445,-,0,-339,0股,-6.41%,256629.61,18.32%
2019-01-28,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.69,40803,-9091.5,5.735,-,0,-174,0股,-18.22%,256629.61,15.9%
2019-01-28,股票,交通银行(601328.XSHG),多,8000股,8000股,6.01,48080,-115.2,6.024,-,0,-80,0股,-0.24%,256629.61,18.74%
2019-01-28,股票,中信银行(601998.XSHG),多,7500股,7500股,5.61,42075,-3742.5,6.109,-,0,450,0股,-8.17%,256629.61,16.4%
2019-01-28,股票,中兴通讯(000063.XSHE),多,100股,100股,20.24,2024,809,12.15,-,0,-8,0股,66.58%,256629.61,0.79%
2019-01-28,,Cash,,,,,5386.61,,,,,,,,0
2019-01-29,股票,普丽盛(300442.XSHE),多,2300股,2300股,12.37,28451,-21210.6,21.592,-,0,-1058,0股,-42.71%,256206.61,11.1%
2019-01-29,股票,上汽集团(600104.XSHG),多,1600股,1600股,26.18,41888,-6016,29.94,-,0,144,0股,-12.56%,256206.61,16.35%
2019-01-29,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.14,46782,-3446.5,4.445,-,0,-226,0股,-6.86%,256206.61,18.26%
2019-01-29,股票,中煤能源(601898.XSHG),多,8700股,8700股,4.63,40281,-9613.5,5.735,-,0,-522,0股,-19.27%,256206.61,15.72%
2019-01-29,股票,交通银行(601328.XSHG),多,8000股,8000股,6.14,49120,924.8,6.024,-,0,1040,0股,1.92%,256206.61,19.17%
2019-01-29,股票,中信银行(601998.XSHG),多,7500股,7500股,5.64,42300,-3517.5,6.109,-,0,225,0股,-7.68%,256206.61,16.51%
2019-01-29,股票,中兴通讯(000063.XSHE),多,100股,100股,19.98,1998,783,12.15,-,0,-26,0股,64.44%,256206.61,0.78%
2019-01-29,,Cash,,,,,5386.61,,,,,,,,0
2019-01-30,股票,普丽盛(300442.XSHE),多,2300股,2300股,12.17,27991,-21670.6,21.592,-,0,-460,0股,-43.64%,255733.61,10.95%
2019-01-30,股票,上汽集团(600104.XSHG),多,1600股,1600股,26.01,41616,-6288,29.94,-,0,-272,0股,-13.13%,255733.61,16.27%
2019-01-30,股票,招商轮船(601872.XSHG),多,11300股,11300股,4.23,47799,-2429.5,4.445,-,0,1017,0股,-4.84%,255733.61,18.69%
