pnl_pct,entry_date,exit_date,symbol,reason,regime
0.0455,2021-06-23,2021-07-01,000651,time_stop,BEAR
-0.0029,2021-07-20,2021-07-21,000651,stop_loss,BEAR
-0.0174,2021-12-08,2021-12-15,000651,stop_loss,BEAR
0.0394,2018-03-26,2018-04-03,000708,time_stop,BULL
-0.0207,2018-05-30,2018-05-31,000708,stop_loss,CHOPPY_BEAR
-0.0251,2018-06-12,2018-06-19,000708,stop_loss,CHOPPY_BEAR
0.0179,2018-08-17,2018-08-27,000708,time_stop,BEAR
-0.0198,2019-07-02,2019-07-04,000708,stop_loss,BULL
0.0069,2019-07-24,2019-08-01,000708,time_stop,BULL
-0.0261,2019-12-23,2019-12-24,000708,stop_loss,BULL
-0.0360,2021-03-05,2021-03-08,000708,stop_loss,BEAR
-0.0794,2021-05-19,2021-05-20,000708,stop_loss,BEAR
0.0153,2021-07-26,2021-07-27,000708,stop_loss,BEAR
0.0669,2021-08-09,2021-08-17,000708,time_stop,BEAR
-0.0112,2021-09-08,2021-09-09,000708,stop_loss,BEAR
-0.0295,2021-09-29,2021-09-30,000708,stop_loss,BEAR
-0.0081,2021-10-08,2021-10-18,000708,time_stop,SIDEWAYS
0.0377,2021-11-18,2021-11-26,000708,time_stop,BEAR
0.0225,2018-03-07,2018-03-15,000725,time_stop,BEAR
0.0021,2018-04-19,2018-04-20,000725,stop_loss,BEAR
-0.0089,2018-04-23,2018-04-26,000725,stop_loss,BEAR
-0.0099,2018-05-29,2018-05-30,000725,stop_loss,CHOPPY_BEAR
-0.0112,2018-07-13,2018-07-19,000725,stop_loss,BEAR
-0.0333,2018-08-10,2018-08-16,000725,stop_loss,BEAR
0.0055,2018-08-28,2018-08-29,000725,stop_loss,BEAR
-0.0111,2018-10-12,2018-10-16,000725,stop_loss,BULL
-0.0175,2019-04-18,2019-04-23,000725,stop_loss,BULL
-0.0474,2019-04-25,2019-04-26,000725,stop_loss,BULL
0.0465,2019-09-06,2019-09-16,000725,time_stop,BULL
-0.0243,2019-11-08,2019-11-11,000725,stop_loss,BULL
-0.0055,2019-11-13,2019-11-21,000725,time_stop,BULL
0.0104,2020-05-07,2020-05-15,000725,time_stop,SIDEWAYS
-0.0205,2020-08-07,2020-08-11,000725,stop_loss,BULL
0.0785,2020-08-14,2020-08-24,000725,time_stop,BEAR
-0.0096,2020-10-12,2020-10-14,000725,stop_loss,SIDEWAYS
-0.0037,2020-12-01,2020-12-04,000725,stop_loss,BULL
0.0238,2021-12-31,2022-01-10,000725,time_stop,BULL
-0.0084,2019-01-08,2019-01-09,000768,stop_loss,BEAR
0.0330,2019-06-21,2019-07-01,000768,time_stop,BEAR
0.1268,2019-08-28,2019-09-05,000768,time_stop,BEAR
0.0018,2020-04-17,2020-04-27,000768,time_stop,BEAR
0.0295,2020-06-24,2020-07-02,000768,time_stop,BULL
0.0011,2020-08-17,2020-08-21,000768,stop_loss,BEAR
-0.0257,2020-09-24,2020-09-25,000768,stop_loss,BEAR
0.0069,2021-09-10,2021-09-17,000768,stop_loss,BEAR
0.0183,2018-07-23,2018-07-31,000776,time_stop,BEAR
0.0119,2018-08-21,2018-08-29,000776,time_stop,BEAR
0.0090,2019-01-25,2019-01-28,000776,stop_loss,BULL
0.1126,2019-02-12,2019-02-20,000776,time_stop,SIDEWAYS
0.1137,2019-03-29,2019-04-08,000776,time_stop,BULL
0.0687,2019-06-20,2019-06-28,000776,time_stop,BEAR
-0.0087,2020-06-08,2020-06-10,000776,stop_loss,BULL
-0.0332,2020-09-21,2020-09-22,000776,stop_loss,BEAR
0.0256,2021-07-23,2021-08-02,000776,time_stop,BEAR
-0.0374,2022-01-21,2022-01-24,000776,stop_loss,BEAR
0.0639,2018-03-09,2018-03-19,000786,time_stop,BEAR
-0.0102,2018-06-29,2018-07-09,000786,time_stop,CHOPPY_BEAR
0.0634,2018-08-20,2018-08-28,000786,time_stop,BEAR
0.0441,2018-09-12,2018-09-20,000786,time_stop,BEAR
0.0357,2019-01-16,2019-01-24,000786,time_stop,BEAR
-0.0088,2019-06-13,2019-06-14,000786,stop_loss,BEAR
0.0038,2019-07-02,2019-07-09,000786,stop_loss,BULL
-0.0106,2019-08-01,2019-08-05,000786,stop_loss,BEAR
0.1060,2019-08-19,2019-08-27,000786,time_stop,BEAR
0.0934,2020-02-27,2020-03-04,000786,crash_clear,BEAR
-0.0076,2020-04-08,2020-04-16,000786,stop_loss,BEAR
0.0452,2021-06-01,2021-06-09,000786,time_stop,BULL
0.1069,2021-07-06,2021-07-14,000786,time_stop,BEAR
0.0066,2021-09-17,2021-09-27,000786,time_stop,BULL
0.1125,2021-12-03,2021-12-13,000786,time_stop,BEAR
0.0058,2018-03-07,2018-03-15,000807,time_stop,BEAR
